srcs	trans	score
llena	full	0.4833333333333334
cardíaco	cardiac	0.9214285714285715
cerraron	they closed	0.4772727272727273
roles	roles	1.0
equipada	equipped	0.9
prohibido	prohibited	0.9377777777777778
descontrolada	uncontrolled	0.719017094017094
cobrando	charging	0.5833333333333334
terrible	terrible	1.0
gritó	scream	0.4555555555555555
deficiencias	deficiencies	0.9666666666666666
participantes	participants	0.9846153846153847
difundida	spread	0.4259259259259258
próxima	next	0.4642857142857142
movilización	mobilization	0.8666666666666667
químicas	chemical	0.6666666666666666
conocidas	known	0.374074074074074
envoltura	envelope	0.6601851851851852
entregar	deliver	0.4900793650793651
continuarán	will continue	0.6297036297036297
mercancía	commodity	0.3148148148148149
migrantes	migrants	0.9777777777777777
jefa	boss	0.0
productor	producer	0.9305555555555555
certificado	certificate	0.9272727272727274
cuyas	whose	0.46666666666666656
estuviéramos	we were	0.4841269841269842
peores	worst	0.7000000000000001
exclusión	exclusion	0.9555555555555556
autora	author	0.9222222222222223
reorganizar	reorganize	0.9436363636363637
confinamientos	confinements	0.9222943722943723
linces	lynx	0.611111111111111
señaló	he pointed	0.4222222222222223
prestar	lend	0.4642857142857142
pasaría	would happen	0.40873015873015883
cooperación	cooperation	0.9272727272727274
quedan	remain	0.6666666666666666
busquen	look for	0.0
deportados	deported	0.915
ecóloga	ecologist	0.6899470899470899
bodas	wedding	0.4476190476190476
redistributivas	redistributive	0.959047619047619
detectados	detected	0.915
diferencie	differentiate	0.9048717948717949
aumentaron	were up	0.3285714285714285
mediante	through	0.0
noreste	northeast	0.85
enemigo	enemy	0.8742857142857143
moviendo	moving	0.8916666666666667
empleados	employees	0.8825396825396825
presupuestaria	budgetary	0.5042328042328043
incluyan	include	0.8678571428571429
aumentan	increase	0.4722222222222221
rugby	rugby	1.0
proteínas	protein	0.9047619047619048
clínicos	clinical	0.6833333333333332
periodistas	journalists	0.6147186147186147
escuchó	heard	0.4476190476190476
boca	mouth	0.4833333333333334
esparciendo	scattering	0.6835497835497836
únicamente	only	0.44999999999999996
paraderos	whereabouts	0.6033670033670034
extremar	extreme	0.9214285714285715
aplazamiento	postponement	0.5444444444444444
salmón	Salmon	0.7777777777777777
venga	come on	0.4476190476190476
radicalmente	radically	0.8722222222222222
hice	I did	0.0
expresará	will express	0.7222222222222222
jefe	boss	0.0
presiones	pressures	0.8666666666666666
clientes	customers	0.5648148148148148
parece	It seems	0.5277777777777778
envasados	packed	0.5185185185185185
noroccidental	northwestern	0.5982905982905983
sarscov2	sarscov2	1.0
repiten	repeat	0.8477777777777777
fiebre	fever	0.765
reporte	report	0.9714285714285714
comparación	comparison	0.9054545454545454
subir	go up	0.0
pieza	piece	0.8133333333333334
existencia	existence	0.9377777777777778
derrumbar	overthrow	0.5555555555555555
económicas	economic	0.915
dan	give	0.0
tripulado	manned	0.4259259259259258
afectadas	affected	0.8444444444444443
crustáceos	crustaceans	0.9054545454545454
deseable	desirable	0.9189814814814814
ajustar	adjust	0.8642857142857143
respondan	answer	0.35185185185185186
cohibido	restrained	0.4833333333333334
mezcla	mixture	0.4365079365079365
temblores	tremors	0.8571428571428572
criminalidad	criminality	0.9136363636363637
sabe	knows	0.0
municipios	municipalities	0.9085714285714286
vouchers	vouchers	1.0
medir	to size	0.4476190476190476
debatía	debated	0.8857142857142858
víctimas	victims	0.8321428571428573
índices	indices	0.9047619047619048
conversamos	we talked	0.468013468013468
secuestradores	kidnappers	0.47857142857142865
documentar	keep record	0.4606060606060607
ejecución	execution	0.7999999999999999
declarado	declared	0.9305555555555555
describe	describes	0.9777777777777777
conceptos	concepts	0.9777777777777777
sucumbió	succumbed	0.8638888888888888
comportamiento	behavior	0.4285714285714286
curry	curry	1.0
variedad	variety	0.8678571428571429
proyectando	projecting	0.8451515151515152
comprarlo	buy	0.0
destinado	destined	0.9305555555555555
rurales	rural	0.9428571428571428
marchado	left	0.0
hechos	acts	0.611111111111111
vacuna	vaccine	0.8222222222222222
entender	understand	0.6166666666666667
podrán	will be able	0.0
accidente	accident	0.9777777777777777
problema	problem	0.975
dividido	divided	0.9214285714285715
vírgenes	virgins	0.8017857142857143
habíamos	we had	0.5277777777777778
pollos	chickens	0.4305555555555556
entendían	they understood	0.49629629629629624
máscaras	More expensive	0.4642857142857142
establecieron	they established	0.640491452991453
lodo	mud	0.5277777777777778
transformado	turned	0.6666666666666666
financiamiento	financing	0.8920634920634921
litro	liter	0.9066666666666667
desprenderá	will come off	0.3892773892773893
principal	principal	1.0
empezando	starting	0.4907407407407407
acomodadas	affluent	0.40833333333333344
senador	senator	0.9428571428571428
pulmonar	pulmonary	0.9777777777777777
vivió	lived	0.6
esteroides	steroids	0.8916666666666666
obligará	force to	0.41666666666666674
partieron	they departed	0.5213675213675214
repitió	repeated	0.6904761904761904
bloquea	blocks	0.6428571428571429
contribuido	contributed	0.9272727272727274
filósofo	philosopher	0.6265151515151516
tubo	tube	0.8833333333333334
orden	order	0.92
modos	modes	0.9066666666666667
enojo	anger	0.46666666666666656
filtra	filter	0.9333333333333333
vasculares	vascular	0.96
gran	great	0.8266666666666667
transformar	transform	0.9636363636363636
ubicado	located	0.6190476190476191
agricultores	farmers	0.6349206349206349
tejas	roof tiles	0.0
estrategia	strategy	0.8583333333333334
algo	something	0.4537037037037037
contexto	context	0.975
hadas	fairies	0.5619047619047619
hoy	today	0.5111111111111111
planificadas	planned	0.8261904761904763
sientes	you feel	0.5119047619047619
plazo	term	0.0
provocado	caused	0.4259259259259258
reencontrarnos	meet again	0.5523809523809524
ofertas	offers	0.8793650793650793
inicios	the beginning	0.4065934065934067
negociación	negotiation	0.890909090909091
pasear	take a walk	0.5909090909090909
aislamiento	isolation	0.7053872053872053
conocido	known	0.3833333333333333
neurotípicas	neurotypical	0.9333333333333333
resolvió	resolved	0.9
presentado	presented	0.9377777777777778
sanitaria	sanitary	0.9305555555555555
tierras	land	0.0
norma	rule	0.0
detectaron	they detected	0.5760683760683761
volatilizado	volatilized	0.9484848484848484
toneladas	tons	0.6944444444444443
asistentes	assistants	0.8600000000000001
implicaría	would involve	0.45128205128205123
disponibles	available	0.5193602693602694
señalado	indicated	0.4907407407407407
claros	clear	0.8577777777777779
indicar	indicate	0.9214285714285715
ambulatoria	ambulatory	0.9436363636363637
posibilidad	possibility	0.8727272727272728
recurre	resort	0.6428571428571429
algunas	some	0.0
emocional	emotional	0.9481481481481482
llamada	call	0.6150793650793651
dicha	bliss	0.46666666666666656
recesión	recession	0.9305555555555555
sanitarias	sanitary	0.915
sedes	venues	0.7000000000000001
condujo	drove	0.4476190476190476
advertencia	warning	0.5670995670995671
cultivarlas	cultivate them	0.8272727272727273
quizá	maybe	0.0
biológica	biological	0.9377777777777778
célebre	celebrated	0.7371428571428572
golpeados	beaten	0.5185185185185185
terapeutas	therapists	0.7771428571428571
envejeciendo	getting old	0.4904040404040404
trabajo	job	0.4920634920634921
nacionalismo	nationalism	0.9313131313131312
urbe	city	0.0
desempeño	performance	0.5193602693602694
por	by	0.0
vuelvan	come back	0.5026455026455027
asociar	associate	0.873015873015873
prefería	preferred	0.8833333333333333
iniciado	initiated	0.8638888888888888
retirada	withdrawal	0.6722222222222222
puente	bridge	0.4444444444444444
estaremos	we will be	0.4740740740740741
real	real	1.0
alimentado	fed	0.47777777777777786
heredó	inherited	0.611111111111111
fotocopiadora	photocopier	0.7808857808857809
alcanzadas	reached	0.5761904761904763
suspendieran	suspended	0.9111111111111111
paulatina	gradual	0.5886243386243386
limitaciones	limitations	0.9484848484848484
explora	explore	0.9428571428571428
alternativas	alternatives	0.9666666666666666
mantendrá	will keep	0.40740740740740744
vista	view	0.6333333333333333
comprometidos	committed	0.8551638176638177
fuerzas	forces	0.6626984126984127
zonas	zones	0.9066666666666667
pleitos	litigation	0.6571428571428571
estudio	study	0.7904761904761904
comiendo	eating	0.5277777777777778
sí	yes	0.0
distribuirán	will distribute	0.6351851851851852
acumula	accumulates	0.9030303030303031
caída	drop	0.0
votar	vote	0.8483333333333334
olas	waves	0.6333333333333333
otra	other	0.6333333333333333
republicanos	republicans	0.9833333333333333
íntegro	full	0.0
fue	was	0.0
fármacos	drugs	0.5499999999999999
veíamos	we saw	0.5396825396825397
fuertes	powerful	0.5119047619047619
tensiones	tensions	0.9777777777777777
hagan	do	0.0
esperábamos	we expected	0.404040404040404
implicar	to imply	0.6666666666666666
isla	island	0.9333333333333333
rural	rural	1.0
origen	origin	0.9333333333333333
carnicería	Butcher shop	0.40555555555555567
trabajando	working	0.49523809523809526
pueden	they can	0.5277777777777778
mandatario	leader	0.6
extrañar	miss	0.0
cierres	closures	0.6071428571428571
pasará	it will happen	0.4126984126984128
viceministro	vice Minister	0.9205128205128206
desbordado	overflowed	0.5333333333333333
optimismo	optimism	0.9777777777777777
provincia	Province	0.8055555555555555
multisistémica	multisystemic	0.89000999000999
indonesio	Indonesian	0.825925925925926
subraya	underline	0.5026455026455027
igualar	equalize	0.6011904761904762
cartón	paperboard	0.5111111111111111
criterio	criterion	0.9777777777777777
significativamente	significantly	0.8732711732711733
funcionamiento	functioning	0.8922077922077922
tasa	rate	0.5
pequeño	little	0.4365079365079365
ingresaron	entered	0.465079365079365
motores	motors	0.9714285714285714
electricidad	electricity	0.9136363636363637
cambios	changes	0.6190476190476191
divulgaron	disclosed	0.6148148148148148
parecía	looked like	0.4112554112554112
pese	I weighed	0.4537037037037037
rastreos	crawls	0.625
controversia	controversy	0.9484848484848484
contacto	Contact	0.8690476190476191
vecindario	neighborhood	0.5055555555555555
despidos	layoffs	0.5119047619047619
chikungunya	chikungunya	1.0
cambió	change	0.5555555555555555
seguimos	we continue	0.43813131313131315
potencias	powers	0.762962962962963
promover	promote	0.9214285714285715
coordina	coordinates	0.9454545454545455
decreto	decree	0.9095238095238095
alfombra	carpet	0.4305555555555556
afecta	it affects	0.6444444444444445
exploración	exploration	0.9272727272727274
oraciones	prayers	0.671957671957672
internamiento	internment	0.9538461538461538
distintos	different	0.6296296296296297
preocupación	concern	0.6746031746031745
esposa	wife	0.0
reanudar	resume	0.625
familiar	family	0.8916666666666667
co2	co2	1.0
mascarillas	face masks	0.5878787878787879
tratamiento	treatment	0.8976430976430976
volcánicas	volcanic	0.91
frustrados	frustrated	0.92
escucharon	they listened	0.39914529914529906
saberlo	know it	0.0
alrededores	surroundings	0.5570707070707072
deriven	derive	0.9714285714285714
gigantesco	gigantic	0.915
elecciones	elections	0.9377777777777778
preparado	prepared	0.9305555555555555
caminando	walking	0.5873015873015873
concebido	conceived	0.9111111111111111
advierte	warns	0.5499999999999999
hecho	done	0.0
at	at	1.0
filial	subsidiary	0.6
dominadas	dominated	0.9111111111111111
volumen	volume	0.9714285714285714
cobertura	coverage	0.7814814814814814
menudo	often	0.5777777777777778
aumentando	increasing	0.5166666666666667
neurociencia	neuroscience	0.9333333333333333
verdad	true	0.4444444444444444
primera	first	0.39523809523809517
noches	nights	0.6666666666666666
trastornos	disorders	0.6185185185185186
formación	training	0.6481481481481481
vuelo	flight	0.4555555555555555
proporciona	provides	0.6212121212121212
reanudando	resuming	0.5499999999999999
ignora	ignore	0.9333333333333333
dato	fact	0.6666666666666666
respetar	respect	0.9214285714285715
papeletas	ballots	0.671957671957672
aprendí	I learned	0.5886243386243386
exitosas	successful	0.5583333333333333
enfermeras	nurses	0.6055555555555555
empezar	start	0.0
mentalmente	mentally	0.8590909090909091
acoso	bullying	0.0
resalta	highlights	0.49523809523809526
conducido	driven	0.35185185185185186
secos	dried	0.0
revisa	check out	0.4259259259259258
personas	persons	0.975
reiteradas	repeated	0.7822222222222223
maten	kill	0.0
sacrificios	sacrifices	0.9436363636363637
preparen	prepare	0.975
agricultura	farming	0.5670995670995671
ratificado	ratified	0.915
utiliza	uses	0.4642857142857142
altiplano	plateau	0.5886243386243386
elegido	chosen one	0.3285714285714285
entorno	environment	0.6562770562770562
rieguen	water	0.4476190476190476
difíciles	difficult	0.8055555555555556
teniendo	having	0.36111111111111116
querido	Dear	0.5952380952380952
similar	Similary	0.8690476190476191
negociadores	negotiators	0.9136363636363637
futuros	futures	0.9428571428571428
retomando	retaking	0.8087962962962962
desarrollarse	develop	0.543040293040293
ampliamente	widely	0.4797979797979799
regalado	given	0.3833333333333333
única	only	0.4833333333333334
técnica	technique	0.671957671957672
cofundadora	co-founder	0.8072727272727274
temiendo	fearing	0.6011904761904762
retrato	portrait	0.7797619047619048
miedo	fear	0.4833333333333334
semanas	weeks	0.5619047619047619
baja	low	0.0
era	was	0.0
lograrlo	achieve it	0.40833333333333344
chicos	Boys	0.4722222222222221
quedarán	will remain	0.537878787878788
recordemos	let&#39;s remember	0.45925925925925926
comunista	communist	0.9481481481481482
próximo	next	0.4642857142857142
titulares	Headlines	0.5462962962962963
catástrofe	catastrophe	0.8896969696969697
ubicación	Location	0.5648148148148148
interesante	interesting	0.905050505050505
esenciales	essential	0.8607407407407408
mira	look	0.0
acudirá	go to	0.0
aplicado	applied	0.8238095238095238
espacio	space	0.7904761904761904
papaya	papaya	1.0
profundo	deep	0.45833333333333326
ninguna	none	0.5952380952380952
llevarán	will carry	0.6333333333333333
áreaes	areas	0.8222222222222223
federales	federal	0.9555555555555556
vuelta	return	0.5555555555555555
podemos	we can	0.4365079365079365
objetivo	objective	0.9305555555555555
confundirse	get confused	0.7563131313131314
partículas	particles	0.8955555555555555
antibióticos	antibiotics	0.946969696969697
clínica	clinic	0.826031746031746
celdas	cells	0.8755555555555556
formas	shapes	0.5555555555555555
desarrollado	developed	0.5907407407407408
redujo	reduced	0.8476190476190476
alimentó	food	0.0
cables	cables	1.0
da	gives	0.0
manejado	handled	0.6071428571428571
acabamos	we finish	0.412037037037037
personales	personal	0.96
características	features	0.5861111111111111
fotos	Photos	0.8222222222222223
nativos	native people	0.8637362637362637
universal	universal	1.0
reconocer	recognize	0.8666666666666666
arroja	throws	0.5555555555555555
debilitaba	weakened	0.40833333333333344
copiar	copy	0.825
calentar	to warm	0.5119047619047619
comunicación	communication	0.9072649572649573
obliga	oblige	0.9333333333333333
quieran	want	0.0
negativa	negative	0.95
lanzados	thrown	0.36111111111111116
demócrata	democrat	0.9189814814814814
rumores	rumors	0.9714285714285714
suicidio	suicide	0.9214285714285715
cobrar	charge	0.5555555555555555
supongo	I suppose	0.671957671957672
clasificación	classification	0.9263736263736264
razón	reason	0.7300000000000001
aprobó	approved	0.7777777777777778
concuerdan	they agree	0.4222222222222223
estar	to be	0.0
sencillamente	simply	0.576923076923077
oportunidades	opportunities	0.8769230769230769
tribunal	court	0.3833333333333333
percepciones	perceptions	0.9484848484848484
mañana	morning	0.5396825396825397
cabello	hair	0.4642857142857142
participar	take part	0.6185185185185186
gozaba	enjoyed	0.4365079365079365
subió	went up	0.0
olfato	smell	0.4555555555555555
lado	side	0.5
vivos	alive	0.6
únicos	unique	0.5555555555555555
tantas	many	0.611111111111111
encanta	love it	0.4285714285714286
orbita	orbit	0.9666666666666667
meningitis	meningitis	1.0
profesionales	professionals	0.9692307692307692
obstante	nevertheless	0.4305555555555556
empezarse	get started	0.6033670033670034
tránsito	transit	0.8952380952380953
petroleros	oil tankers	0.6595959595959596
lucha	fight	0.46666666666666656
carrera	race	0.7738095238095237
solicite	I requested	0.31060606060606055
ajustes	settings	0.6011904761904762
climático	climate	0.853968253968254
mientras	While	0.5499999999999999
útil	Useful	0.4722222222222221
debían	they should	0.4191919191919191
historia	history	0.9214285714285715
estadísticas	statistics	0.7805555555555556
ocasión	chance	0.5396825396825397
problemas	problems	0.9777777777777777
pronunció	pronounced	0.8955555555555555
eventual	eventual	1.0
clasificado	classified	0.9054545454545454
etapas	stages	0.6666666666666666
creadores	creators	0.9305555555555555
mundo	world	0.46666666666666656
contrapartida	counterpart	0.8398342398342398
publicaciones	publications	0.9525641025641025
ciclo	cycle	0.76
mantenemos	we keep	0.49523809523809526
telefónica	telephone	0.6851851851851851
universidad	college	0.4112554112554112
becas	scholarships	0.5055555555555555
consultora	consultant	0.92
suban	go up	0.0
clase	class	0.92
compartió	shared	0.5185185185185185
opinión	opinion	0.9428571428571428
afirmación	affirmation	0.8739393939393939
reproducción	reproduction	0.9333333333333333
alertas	alerts	0.9714285714285714
dromedarios	dromedaries	0.9636363636363636
veintes	twenties	0.8134920634920636
difusa	fuzzy	0.5777777777777778
expertos	experts	0.975
favor	favor	1.0
montarme	ride me	0.5119047619047619
pescado	fish	0.4642857142857142
semáforo	traffic light	0.3012820512820513
implicado	involved	0.5694444444444444
exitoso	successful	0.49523809523809526
récord	record	0.9
pasando	going	0.4476190476190476
perforó	pierced	0.6190476190476191
transmisibles	transmissible	0.9692307692307692
censo	census	0.8933333333333334
sencillo	simple	0.625
peruano	Peruvian	0.7797619047619048
